122,199
243,434
647,335
129,196
265,631
73,524
447,649
82,764
404,237
214,780
92,723
620,328
287,666
324,825
98,760
899,905
617,217
1128,868
555,616
398,230
507,635
1164,848
201,775
465,605
579,556
399,895
262,429
434,316
307,606
163,902
91,767
1076,497
269,803
389,99
49,370
1018,502
1139,403
974,308
227,448
177,882
1147,728
296,669
157,855
545,566
127,820
66,266
1201,545
152,137
250,456
332,67
202,586
85,366
68,732
325,450
163,858
350,859
432,327
1037,564
357,878
286,872
428,49
484,244
412,96
199,480
939,853
638,225
230,856
683,809
834,833
1016,168
211,726
552,130
497,658
112,244
282,247
354,54
262,480
982,190
220,730
582,578
1146,749
663,486
963,379
1064,755
630,385
647,914
1106,857
292,93
228,803
98,235
659,488
575,606
343,484
55,283
858,424
405,56
1122,368
359,643
235,637
1176,218
790,168
670,314
225,477
167,155
149,768
60,336
1062,754
602,476
292,769
209,123
873,105
213,124
630,285
905,175
290,423
97,777
1129,833
651,696
134,840
666,462
608,440
458,122
639,289
351,891
138,198
1115,883
748,734
123,774
81,334
642,310
911,180
800,102
652,864
302,728
447,277
824,120
222,161
470,598
242,427
219,852
658,273
936,359
572,567
289,434
1119,846
916,353
1174,757
866,439
1189,533
1079,797
635,222
401,627
953,350
593,176
927,885
921,343
303,423
66,718
286,792
361,860
295,406
915,846
549,142
1207,501
878,128
499,110
1180,780
303,65
825,925
68,263
440,393
1224,480
955,918
301,747
90,440
320,83
814,230
591,500
442,318
64,386
906,155
101,728
280,659
128,835
762,543
136,482
330,468
1115,786
449,231
939,392
279,475
300,731
419,242
307,417
228,636
923,395
237,624
508,571
880,769
267,471
289,458
333,823
471,287
302,673
652,427
1197,735
1154,853
291,427
166,138
124,778
446,123
430,321
82,274
916,836
394,634
352,902
691,767
835,237
70,259
1216,533
118,739
297,821
444,302
68,325
339,794
186,735
281,393
439,620
186,175
64,723
253,475
359,239
275,417
406,247
972,333
477,466
256,441
161,161
142,790
299,737
289,878
463,302
1059,761
645,362
94,255
1189,779
431,87
645,411
505,227
581,578
870,805
646,412
143,730
191,193
386,661
486,235
283,469
275,792
1051,369
231,100
886,819
873,803
1116,728
901,348
214,139
113,500
80,359
535,125
338,91
1159,800
1072,414
945,351
409,450
417,238
443,329
1026,713
157,539
925,370
624,501
997,321
369,622
235,430
254,429
282,450
715,819
238,417
258,454
494,248
972,186
247,827
1136,499
248,431
1150,800
381,81
294,461
1054,552
1169,809
305,874
1200,754
1135,758
212,451
292,875
260,134
1045,120
233,604
210,801
396,247
1170,227
929,897
591,208
984,322
214,633
243,459
63,719
1126,813
1178,745
992,352
883,882
251,720
413,96
685,822
1129,816
607,455
850,491
213,453
874,128
1123,352
296,60
121,729
228,749
512,146
651,802
234,427
307,630
500,117
465,238
150,130
989,149
207,760
161,822
251,457
198,847
551,118
624,218
1116,873
260,809
46,322
915,744
297,469
899,777
154,138
1210,760
605,208
287,658
216,757
629,255
569,527
1124,843
406,646
1149,555
453,269
229,468
443,112
251,464
642,521
420,247
125,745
277,487
199,824
62,348
225,432
87,489
430,637
212,751
80,393
1067,723
88,407
550,160
244,422
983,152
268,422
86,431
979,338
78,760
1079,720
387,868
963,355
281,471
1100,814
77,734
979,311
101,309
353,116
332,637
347,878
418,305
343,480
954,337
